kelurahan,kecamatan,jumlah_kasus_2025
Katulampa,Bogor Timur,24
Cilendek Timur,Bogor Barat,21
Gunungbatu,Bogor Barat,20
Babakanpasar,Bogor Tengah,18
Sindangbarang,Bogor Barat,15
Baranangsiang,Bogor Timur,14
Sukasari,Bogor Timur,14
Kedungbadak,Tanah Sereal,13
Gudang,Bogor Tengah,13
Sindangrasa,Bogor Timur,13
Tanahbaru,Bogor Utara,12
Situgede,Bogor Barat,11
Kebonpedes,Tanah Sereal,10
Cibadak,Tanah Sereal,10
Mekarwangi,Tanah Sereal,10
Tegalgundil,Bogor Utara,10
Empang,Bogor Selatan,10
Cipaku,Bogor Selatan,10
Kedunghalang,Bogor Utara,9
Pamoyanan,Bogor Selatan,9
Cikaret,Bogor Selatan,9
Kedungjaya,Tanah Sereal,8
Bondongan,Bogor Selatan,8
Tajur,Bogor Timur,8
Menteng,Bogor Barat,8
Cilendek Barat,Bogor Barat,8
Balungbangjaya,Bogor Barat,8
Pasirkuda,Bogor Barat,8
Bantarjati,Bogor Utara,7
Ciparigi,Bogor Utara,7
Sindangsari,Bogor Timur,7
Bubulak,Bogor Barat,7
Curug,Bogor Barat,7
Pasirjaya,Bogor Barat,7
Cimahpar,Bogor Utara,6
Mulyaharja,Bogor Selatan,6
Genteng,Bogor Selatan,6
Kertamaya,Bogor Selatan,6
Pasirmulya,Bogor Barat,6
Kedungwaringin,Tanah Sereal,5
Kayumanis,Tanah Sereal,5
Loji,Bogor Barat,5
Kencana,Tanah Sereal,4
Sukadamai,Tanah Sereal,4
Sempur,Bogor Tengah,4
Kebonkelapa,Bogor Tengah,4
Paledang,Bogor Tengah,4
Ranggamekar,Bogor Selatan,4
Lawanggintung,Bogor Selatan,4
Harjasari,Bogor Selatan,4
Semplak,Bogor Barat,4
Sukaresmi,Tanah Sereal,3
Cibuluh,Bogor Utara,3
Babakan,Bogor Tengah,3
Bojongkerta,Bogor Selatan,3
Muarasari,Bogor Selatan,3
Margajaya,Bogor Barat,3
Tanahsareal,Tanah Sereal,2
Ciluar,Bogor Utara,2
Ciwaringin,Bogor Tengah,2
Rancamaya,Bogor Selatan,2
Pakuan,Bogor Selatan,2
Pakuan,Bogor Selatan,2
Curugmekar,Bogor Barat,2
Pabaton,Bogor Tengah,1
Cibogor,Bogor Tengah,1
Tegallega,Bogor Tengah,1
Panaragan,Bogor Tengah,1
Batutulis,Bogor Selatan,1
