id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jumlah_demam_berdarah,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201140,BABAKAN MADANG,320105,BABAKAN MADANG,16,Orang,2020
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201140,BABAKAN MADANG,320105,BABAKAN MADANG,34,Orang,2021
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201140,BABAKAN MADANG,320105,BABAKAN MADANG,48,Orang,2022
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201220,BOJONG GEDE,320113,BOJONG GEDE,44,Orang,2020
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201220,BOJONG GEDE,320113,BOJONG GEDE,104,Orang,2021
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201220,BOJONG GEDE,320113,BOJONG GEDE,109,Orang,2022
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201090,CARINGIN,320127,CARINGIN,8,Orang,2020
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201090,CARINGIN,320127,CARINGIN,50,Orang,2021
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201090,CARINGIN,320127,CARINGIN,77,Orang,2022
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201160,CARIU,320108,CARIU,2,Orang,2020
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201160,CARIU,320108,CARIU,10,Orang,2021
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201160,CARIU,320108,CARIU,9,Orang,2022
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201050,CIAMPEA,320115,CIAMPEA,51,Orang,2020
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201050,CIAMPEA,320115,CIAMPEA,31,Orang,2021
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201050,CIAMPEA,320115,CIAMPEA,107,Orang,2022
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201100,CIAWI,320124,CIAWI,21,Orang,2020
17,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201100,CIAWI,320124,CIAWI,83,Orang,2021
18,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201100,CIAWI,320124,CIAWI,120,Orang,2022
